Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
DE:95:84:19:50:C7, 2023-10-24 01:34:25, 2023-10-24 01:34:25, -86,        1, (not associated) ,
C6:1D:2F:8C:B1:7E, 2023-10-24 01:34:45, 2023-10-24 01:34:45, -85,        3, (not associated) ,
D6:54:A3:18:98:28, 2023-10-24 01:34:59, 2023-10-24 01:34:59, -84,        4, (not associated) ,victoria
CE:DC:D0:BC:C9:08, 2023-10-24 01:36:12, 2023-10-24 01:36:12, -95,        1, (not associated) ,
D6:54:A3:44:D3:C2, 2023-10-24 01:37:39, 2023-10-24 01:37:40, -84,        3, (not associated) ,victoria
CA:A0:04:A4:D0:A6, 2023-10-24 01:39:26, 2023-10-24 01:39:26, -86,        3, (not associated) ,
FA:FC:5A:99:05:11, 2023-10-24 01:39:47, 2023-10-24 01:39:47, -82,        3, (not associated) ,
D6:54:A3:27:B5:25, 2023-10-24 01:40:20, 2023-10-24 01:40:20, -86,        2, (not associated) ,
90:A8:22:A6:98:6F, 2023-10-24 01:41:35, 2023-10-24 02:36:41,  -1,        3, F8:5B:3B:4F:95:F5,
D6:54:A3:99:98:17, 2023-10-24 01:42:59, 2023-10-24 01:42:59, -90,        1, (not associated) ,victoria
5E:12:B3:58:EC:6A, 2023-10-24 01:49:27, 2023-10-24 01:49:28, -89,        3, (not associated) ,
CE:62:40:49:A5:CE, 2023-10-24 01:49:49, 2023-10-24 01:49:49, -87,        1, (not associated) ,
D6:54:A3:0E:FF:FE, 2023-10-24 01:53:39, 2023-10-24 01:53:40, -83,        3, (not associated) ,victoria
72:89:13:26:64:9C, 2023-10-24 01:54:28, 2023-10-24 01:54:28, -89,        3, (not associated) ,
A4:5E:60:BC:A6:3B, 2023-10-24 01:55:19, 2023-10-24 01:55:19,  -1,        1, 44:D4:54:6E:32:09,
D6:54:A3:C7:C6:35, 2023-10-24 01:56:19, 2023-10-24 01:56:19, -87,        2, (not associated) ,
D6:54:A3:ED:6E:6D, 2023-10-24 02:01:39, 2023-10-24 02:01:39, -87,        1, (not associated) ,victoria
B6:63:C5:E9:10:65, 2023-10-24 02:04:31, 2023-10-24 02:04:31, -82,        7, (not associated) ,
E6:FE:DC:50:4B:C9, 2023-10-24 02:04:51, 2023-10-24 02:04:51, -87,        4, (not associated) ,
D6:54:A3:0F:9D:0D, 2023-10-24 02:07:00, 2023-10-24 02:07:00, -83,        2, (not associated) ,victoria
BA:25:35:71:52:96, 2023-10-24 02:10:01, 2023-10-24 03:04:47,  -1,       49, 18:35:D1:7F:3C:F1,
D6:54:A3:D6:56:66, 2023-10-24 02:12:20, 2023-10-24 02:12:20, -83,        5, (not associated) ,victoria
1A:5B:6C:32:B3:63, 2023-10-24 02:14:10, 2023-10-24 02:14:10, -89,        2, (not associated) ,victoria
D6:54:A3:D5:54:C3, 2023-10-24 02:15:01, 2023-10-24 02:15:01, -82,        2, (not associated) ,victoria
D6:54:A3:76:E5:74, 2023-10-24 02:17:41, 2023-10-24 02:17:41, -83,        2, (not associated) ,victoria
C2:A6:C7:50:87:49, 2023-10-24 02:17:58, 2023-10-24 02:17:58, -105,        1, (not associated) ,
22:FF:46:DC:00:D6, 2023-10-24 02:18:18, 2023-10-24 02:18:18, -84,        2, (not associated) ,
DA:A1:19:67:67:67, 2023-10-24 02:19:05, 2023-10-24 02:19:05, -64,        3, (not associated) ,
D6:54:A3:19:17:17, 2023-10-24 02:23:00, 2023-10-24 02:23:00, -84,        1, (not associated) ,
4E:EB:23:D8:9D:AD, 2023-10-24 02:23:25, 2023-10-24 02:23:25, -89,        3, (not associated) ,italo
E2:02:EE:69:8F:50, 2023-10-24 02:23:29, 2023-10-24 02:23:29, -95,        5, (not associated) ,italo
D6:54:A3:F0:6F:DE, 2023-10-24 02:25:40, 2023-10-24 02:25:41, -88,        5, (not associated) ,victoria
5A:03:A4:20:5E:4F, 2023-10-24 02:28:01, 2023-10-24 02:28:01, -87,        2, (not associated) ,
D6:54:A3:DD:4E:4D, 2023-10-24 02:28:20, 2023-10-24 02:28:20, -88,        3, (not associated) ,victoria
D6:54:A3:AA:28:B8, 2023-10-24 02:28:27, 2023-10-24 02:28:27, -86,        4, (not associated) ,victoria
D6:54:A3:5E:5D:5C, 2023-10-24 02:31:07, 2023-10-24 02:31:07, -90,        1, (not associated) ,victoria
DA:A1:19:E9:44:E1, 2023-10-24 02:32:09, 2023-10-24 02:32:09, -85,        3, (not associated) ,
1E:F6:BE:ED:9F:50, 2023-10-24 02:33:03, 2023-10-24 02:33:03, -87,        1, (not associated) ,
E6:CF:80:E1:6F:19, 2023-10-24 02:33:23, 2023-10-24 02:33:23, -88,        4, (not associated) ,
62:D0:CA:6A:C5:62, 2023-10-24 02:37:11, 2023-10-24 02:37:11, -86,        2, (not associated) ,victoria
1E:2B:E5:50:E9:9F, 2023-10-24 02:38:04, 2023-10-24 02:38:04, -86,        1, (not associated) ,
CA:01:34:D6:82:C0, 2023-10-24 02:38:24, 2023-10-24 02:38:24, -87,        2, (not associated) ,
DE:2B:1C:B6:D7:15, 2023-10-24 02:39:30, 2023-10-24 02:39:30, -91,        1, (not associated) ,
F6:C0:A1:FA:B2:10, 2023-10-24 02:41:30, 2023-10-24 02:41:30, -91,        2, (not associated) ,
B2:78:93:AB:C3:B8, 2023-10-24 02:43:25, 2023-10-24 02:43:25, -94,        1, (not associated) ,
D8:B0:53:92:F4:8A, 2023-10-24 02:49:13, 2023-10-24 02:49:13, -92,        2, (not associated) ,
1E:F8:82:40:7E:91, 2023-10-24 02:54:44, 2023-10-24 02:54:44, -85,        1, (not associated) ,
F6:B0:D6:28:41:DA, 2023-10-24 03:02:57, 2023-10-24 03:02:57, -84,        4, (not associated) ,victoria
1E:69:07:B7:F0:0D, 2023-10-24 03:09:42, 2023-10-24 03:09:42, -83,        4, (not associated) ,
12:96:12:C0:78:93, 2023-10-24 03:21:06, 2023-10-24 03:21:06, -94,        2, (not associated) ,victoria
10:59:32:6E:C8:AC, 2023-10-24 03:38:28, 2023-10-24 03:39:44, -90,        6, (not associated) ,iPhone de Esteban
1A:19:58:CD:40:A7, 2023-10-24 03:43:06, 2023-10-24 03:43:06, -92,        1, (not associated) ,
4E:65:AE:D8:8A:69, 2023-10-24 03:44:50, 2023-10-24 03:44:50, -96,        1, (not associated) ,
96:C4:EE:46:C4:A0, 2023-10-24 04:04:59, 2023-10-24 04:04:59, -97,        2, (not associated) ,
B4:CD:27:DD:B7:D4, 2023-10-24 04:06:47, 2023-10-24 04:06:47,  -1,        1, E8:6D:E9:03:A1:C8,
12:14:66:20:3E:62, 2023-10-24 04:15:02, 2023-10-24 04:15:02, -90,        1, (not associated) ,
26:1A:81:94:73:1E, 2023-10-24 04:20:02, 2023-10-24 04:20:02, -90,        3, (not associated) ,
16:45:B5:E4:6E:E4, 2023-10-24 04:29:44, 2023-10-24 04:29:45, -88,        4, (not associated) ,
8C:25:05:5F:00:92, 2023-10-24 04:31:30, 2023-10-24 04:48:53, -57,      864, CC:D7:3C:FB:A5:D0,
E0:09:BF:3F:54:6F, 2023-10-24 04:35:31, 2023-10-24 04:54:16, -99,       35, (not associated) ,HSNVRDbp73
E6:32:16:F2:22:96, 2023-10-24 04:50:12, 2023-10-24 04:50:12, -89,        2, (not associated) ,
42:0B:0A:27:09:47, 2023-10-24 04:54:52, 2023-10-24 04:54:52, -85,        2, (not associated) ,
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
EC:3D:FD:C1:BD:1B, 2023-10-23 15:04:08, 2023-10-24 04:54:52, -62,    37082, (not associated) ,VTR-3759291
7C:F6:66:0E:4F:D9, 2023-10-23 15:04:15, 2023-10-24 03:57:51, -45,     1215, CC:D7:3C:FB:A5:D0,
94:A4:08:68:FD:71, 2023-10-23 15:04:34, 2023-10-24 04:54:30, -66,    12280, 40:0D:10:2A:1A:99,VTR-6745269
84:A6:C8:8D:5C:39, 2023-10-23 15:04:34, 2023-10-24 04:48:52, -60,    13880, CC:D7:3C:FB:A5:D0,GRAFIKA 2.4
D8:F3:BC:E0:1B:45, 2023-10-23 15:04:55, 2023-10-24 04:54:38, -26,     7327, CC:D7:3C:FB:A5:D0,GRAFIKA 2.4
